,DATEPRD,ON_STREAM_HRS,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,AVG_WHP_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_WAT_VOL,Total Injection
208,2008-09-09,0.0,170.39,26.37657,106.922,106.81,0.0,0.0,4885.0
209,2008-09-10,23.6,176.262,22.26945,97.284,67.13,1182.0,2.0,5520.0
210,2008-09-11,24.0,172.705,44.18525,87.296,55.037,4067.0,7.0,5468.0
211,2008-09-12,24.0,171.628,42.83797,87.575,55.429,3736.0,6.0,5331.0
212,2008-09-13,24.0,171.459,45.71124,85.249,52.932,4058.0,5.0,5473.0
213,2008-09-14,24.0,170.87,45.8337,84.217,51.923,4036.0,6.0,5902.0
214,2008-09-15,24.0,170.478,46.24048,82.854,50.512,4047.0,6.0,4099.0
215,2008-09-16,24.0,169.735,46.28296,81.797,49.494,4005.0,6.0,3743.75
216,2008-09-17,24.0,168.786,46.22387,80.647,48.384,3937.0,6.0,3388.5
217,2008-09-18,24.0,168.115,36.73361,85.064,53.031,2503.0,11.0,3033.25
218,2008-09-19,24.0,167.475,37.12605,84.241,52.099,2551.0,3.0,2678.0
219,2008-09-20,24.0,166.583,44.88508,79.232,47.041,3606.0,4.0,5705.0
220,2008-09-21,22.17,166.338,41.21113,79.549,46.452,2859.0,4.0,2030.0
221,2008-09-22,18.29,166.233,45.30538,76.257,44.1,2847.0,12.0,8541.0
222,2008-09-23,24.0,165.771,46.17862,75.441,43.172,3653.0,14.0,6958.0
223,2008-09-24,24.0,165.249,46.37669,74.654,42.381,3629.0,5.0,5962.0
224,2008-09-25,24.0,164.537,44.14644,76.299,44.116,3390.0,14.0,6165.0
225,2008-09-26,24.0,164.527,46.80728,73.086,40.826,3576.0,19.0,10876.0
226,2008-09-27,24.0,164.524,43.36785,75.006,42.793,3175.0,29.0,9966.0
227,2008-09-28,24.0,164.213,45.0341,74.001,41.871,3371.0,12.0,10121.0
228,2008-09-29,24.0,164.051,46.55129,72.472,40.216,3512.0,7.0,9976.0
229,2008-09-30,24.0,164.052,46.62032,72.059,39.901,3627.0,5.0,9387.0
230,2008-10-01,24.0,164.013,47.28816,71.122,38.805,3607.0,5.0,9498.0
231,2008-10-02,24.0,163.754,47.31026,70.943,38.626,3320.0,11.0,8750.0
232,2008-10-03,24.0,163.415,47.34629,70.75,38.446,3594.0,11.0,9985.0
233,2008-10-04,24.0,164.494,36.54631,77.03,45.137,2464.0,9.0,6136.0
234,2008-10-05,24.0,163.274,47.0641,70.617,38.394,3377.0,11.0,10879.0
235,2008-10-06,22.33,163.306,36.34842,78.94,47.628,2127.0,7.0,8514.0
236,2008-10-07,24.0,162.371,40.82481,77.145,45.629,2726.0,17.0,10433.0
237,2008-10-08,24.0,162.414,40.82666,77.071,45.501,2719.0,23.0,9214.0
238,2008-10-09,24.0,162.299,40.82958,77.181,45.615,2714.0,31.0,11361.0
239,2008-10-10,24.0,162.2,40.84937,77.217,45.677,2720.0,19.0,10283.0
240,2008-10-11,24.0,162.23,40.91507,76.937,45.239,2740.0,32.0,8821.0
241,2008-10-12,24.0,162.538,41.85422,75.803,44.149,2825.0,27.0,11378.0
242,2008-10-13,24.0,162.358,41.78594,75.945,44.27,2828.0,24.0,12064.0
243,2008-10-14,24.0,162.438,41.78983,75.922,44.265,2829.0,11.0,9790.0
244,2008-10-15,24.0,162.247,41.8465,76.088,44.438,2825.0,24.0,11031.666666666666
245,2008-10-16,24.0,162.307,41.82764,76.039,44.348,2825.0,24.0,12389.333333333334
246,2008-10-17,24.0,162.273,41.82633,76.032,44.346,2832.0,24.0,10582.0
247,2008-10-18,19.0,163.436,43.57938,72.013,39.899,2520.0,24.0,12885.0
248,2008-10-19,24.0,162.71,40.26979,77.166,45.503,2714.0,24.0,13586.0
249,2008-10-20,24.0,162.291,39.72026,78.446,46.947,2664.0,23.0,13664.0
250,2008-10-21,24.0,162.37,39.54749,78.708,47.204,2653.0,11.0,14230.0
251,2008-10-22,24.0,162.717,46.54652,72.054,39.881,3421.0,36.0,14179.0
252,2008-10-23,24.0,162.784,45.94962,72.491,40.403,3363.0,23.0,12384.0
253,2008-10-24,24.0,162.894,46.54539,71.836,39.648,3426.0,31.0,14429.0
254,2008-10-25,24.0,163.029,47.30775,71.061,38.803,3525.0,11.0,14878.0
255,2008-10-26,25.0,163.381,47.94442,70.284,37.889,3837.0,13.0,15421.0
256,2008-10-27,24.0,163.46,47.80083,70.406,37.949,3622.0,22.0,13768.0
257,2008-10-28,24.0,163.447,47.51986,70.738,38.383,3728.0,25.0,15298.0
258,2008-10-29,23.17,163.852,40.55929,75.127,43.094,2823.0,22.0,11830.0
259,2008-10-30,24.0,163.243,46.26385,72.465,40.241,3471.0,21.0,9171.0
260,2008-10-31,24.0,163.198,46.82448,71.296,39.058,3516.0,33.0,14160.0
261,2008-11-01,22.5,164.152,41.04032,74.131,42.027,2758.0,33.0,13113.0
262,2008-11-02,24.0,164.82,54.13522,65.797,33.293,4443.0,28.0,13977.0
263,2008-11-03,24.0,166.69,63.6046,57.843,25.237,4939.0,31.0,15077.0
264,2008-11-04,24.0,167.205,65.91419,56.326,23.477,5124.0,20.0,13182.0
265,2008-11-05,24.0,166.992,66.81713,55.961,23.077,5188.0,32.0,12605.0
266,2008-11-06,24.0,166.776,67.27832,55.836,22.942,5204.0,38.0,14407.0
267,2008-11-07,24.0,167.352,70.74367,54.274,21.302,5136.0,43.0,14370.0
268,2008-11-08,24.0,167.337,70.75831,54.321,21.333,5141.0,38.0,14947.0
269,2008-11-09,24.0,167.263,69.84177,54.734,21.743,5114.0,42.0,15116.0
270,2008-11-10,24.0,167.058,68.19639,55.525,22.557,5060.0,35.0,15012.0
271,2008-11-11,24.0,167.158,68.21417,55.557,22.593,5077.0,12.0,14949.0
272,2008-11-12,24.0,167.564,68.20333,55.297,22.322,5065.0,42.0,14675.0
273,2008-11-13,24.0,167.359,68.23689,55.628,22.661,5084.0,15.0,14621.0
274,2008-11-14,24.0,167.369,68.26733,55.787,22.802,5106.0,13.0,14941.0
275,2008-11-15,24.0,167.463,67.78168,55.968,22.991,5097.0,12.0,13485.0
276,2008-11-16,24.0,167.579,67.73251,55.866,22.898,5082.0,13.0,14681.0
277,2008-11-17,24.0,167.407,66.33882,56.11,23.145,5077.0,12.0,12876.0
278,2008-11-18,24.0,167.473,67.76173,55.956,22.973,5074.0,9.0,7991.0
279,2008-11-19,24.0,167.895,72.56489,53.859,20.77,5223.0,20.0,11733.0
280,2008-11-20,23.88,167.63,70.34545,54.581,21.558,5117.0,13.0,17645.0
281,2008-11-21,18.29,167.7,60.75193,60.374,27.226,3554.0,734.0,15316.0
282,2008-11-22,24.0,167.59,67.74944,56.05,22.604,5034.0,683.0,14269.0
283,2008-11-23,24.0,166.524,62.84763,59.56,26.143,4831.0,95.0,10915.0
284,2008-11-24,24.0,167.13,65.97474,56.952,23.743,4971.0,65.0,17570.0
285,2008-11-25,24.0,167.698,67.96528,56.023,22.764,5063.0,172.0,17640.0
286,2008-11-26,24.0,168.21,70.48449,55.114,21.774,5146.0,21.0,16677.0
287,2008-11-27,24.0,168.498,72.35622,54.584,21.182,5200.0,51.0,17574.0
288,2008-11-28,24.0,165.052,42.02247,78.579,45.609,2897.0,7.0,17370.0
289,2008-11-29,24.0,168.032,62.31119,62.644,29.426,4853.0,48.0,17652.0
290,2008-11-30,24.0,169.783,70.24967,56.092,22.637,5256.0,15.0,17521.0
291,2008-12-01,24.0,169.399,66.29217,59.341,25.978,5095.0,19.0,17190.0
292,2008-12-02,24.0,170.561,70.49833,57.775,24.34,5276.0,40.0,17648.0
293,2008-12-03,24.0,170.584,70.10871,56.789,23.285,5333.0,38.0,17589.0
294,2008-12-04,24.0,170.235,69.73646,57.687,24.192,5435.0,35.0,17605.0
295,2008-12-05,24.0,169.731,65.06153,60.38,27.016,5209.0,38.0,17436.0
296,2008-12-06,24.0,170.741,66.46088,59.516,26.082,5292.0,38.0,17638.0
